Instance,k,Population,Fitness,Time,Initialization
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/bath.txt,2,50,74,53.02,22.5
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/bath.txt,2,50,73,58.77,22.58
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/bath.txt,2,50,73,60.17,21.95
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/bath.txt,2,50,72,60.67,22.7
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/bath.txt,2,50,73,69.16,22.09
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/bath.txt,2,100,74,96.35,44.63
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/bath.txt,2,100,74,105.36,44.76
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/bath.txt,2,100,72,111.83,44.5
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/bath.txt,2,100,72,114.86,43.38
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/bath.txt,2,100,72,114.89,44.98
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/brighton.txt,2,50,43,64.99,26.07
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/brighton.txt,2,50,43,71.48,25.44
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/brighton.txt,2,50,43,72.75,24.1
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/brighton.txt,2,50,42,80.88,26.62
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/brighton.txt,2,50,42,91.79,24.68
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/bath.txt,2,150,73,156.67,66.45
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/bath.txt,2,150,73,156.14,68.36
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/bath.txt,2,150,71,154.92,70.71
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/bath.txt,2,150,71,161.84,65.98
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/bath.txt,2,150,72,166.18,66.28
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/brighton.txt,2,100,41,143.9,47.87
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/brighton.txt,2,100,41,144.38,49.28
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/brighton.txt,2,100,42,154.45,46.78
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/brighton.txt,2,100,41,150.54,53.06
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/brighton.txt,2,100,41,155.51,50.46
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/bath.txt,2,200,72,205.23,88.65
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/cardiff.txt,2,50,83,78.47,31.0
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/bath.txt,2,200,73,212.13,89.93
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/cardiff.txt,2,50,81,88.16,30.72
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/cardiff.txt,2,50,81,88.12,32.42
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/cardiff.txt,2,50,80,97.38,29.68
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/cardiff.txt,2,50,81,96.34,32.4
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/bath.txt,2,200,72,232.16,89.38
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/bath.txt,2,200,72,235.26,87.39
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/belfast.txt,2,50,79,232.18,89.61
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/belfast.txt,2,50,81,210.62,103.1
